date,open,high,low,close,volume,amount,data_type,code,cpi_yoy,indicator,m2_yoy,year,value
2020-01-02,3617.3664336,3705.5948832,3585.38362062,3590.89789872,101213040.0,3342373870.6,stock,000002,,,,,
2020-01-03,3607.44073302,3618.46928922,3504.87516036,3534.6522621,80553629.0,2584309903.29,stock,000002,,,,,
2020-01-06,3501.5665935,3502.66944912,3446.4238125,3475.09805862,87684058.0,2761448649.61,stock,000002,,,,,
2020-01-07,3486.12661482,3521.41799466,3457.4523687,3502.66944912,57793343.0,1827510871.94,stock,000002,,,,,
2020-01-08,3451.9380906,3503.77230474,3424.3667001,3493.84660416,52999684.0,1667143803.08,stock,000002,,,,,
2020-01-09,3545.6808183,3582.07505376,3512.5951497,3551.1950964,78373446.0,2519927706.82,stock,000002,,,,,
2020-01-10,3529.137984,3553.40080764,3457.4523687,3469.58378052,55744373.0,1762516212.1,stock,000002,,,,,
2020-01-13,3462.9666468,3504.87516036,3447.52666812,3493.84660416,62074912.0,1957169612.15,stock,000002,,,,,
2020-01-14,3479.5094811,3505.97801598,3459.65807994,3461.86379118,41971228.0,1322400772.1,stock,000002,,,,,
2020-01-15,3451.9380906,3472.89234738,3359.29821852,3362.60678538,67294431.0,2071443624.89,stock,000002,,,,,
2020-01-16,3376.94390844,3411.13243266,3352.6810848,3367.01820786,58139589.0,1779302393.93,stock,000002,,,,,
2020-01-17,3376.94390844,3402.3095877,3343.85823984,3359.29821852,47221927.0,1442665863.08,stock,000002,,,,,
2020-01-20,3363.709641,3364.81249662,3255.62979024,3294.22973694,91563767.0,2730988423.02,stock,000002,,,,,
2020-01-21,3260.04121272,3293.12688132,3200.48700924,3221.44126602,81796927.0,2399809082.59,stock,000002,,,,,
2020-01-22,3220.3384104,3346.06395108,3218.13269916,3320.69827182,93771024.0,2796437180.95,stock,000002,,,,,
2020-01-23,3275.4811914,3284.30403636,3162.98991816,3196.07558676,98694879.0,2884502300.28,stock,000002,,,,,
2020-02-03,2877.35031258,3035.05866624,2876.24745696,2936.90451606,153086547.0,4119846241.35,stock,000002,,,,,
2020-02-04,2966.6816178,3073.65861294,2966.6816178,3046.08722244,103628313.0,2838999600.3,stock,000002,,,,,
2020-02-05,3033.95581062,3085.79002476,3001.97299764,3048.29293368,80068551.0,2213431074.59,stock,000002,,,,,
2020-02-06,3060.4243455,3101.23000344,3024.03011004,3076.9671798,87186933.0,2412853830.13,stock,000002,,,,,
2020-02-07,3031.75009938,3043.8815112,3000.87014202,3032.852955,71378548.0,1956685390.11,stock,000002,,,,,
2020-02-10,3005.2815645,3185.04703056,2990.94444144,3161.88706254,91123804.0,2575641111.92,stock,000002,,,,,
2020-02-11,3148.6527951,3256.73264586,3148.6527951,3207.10414296,68535405.0,2004428742.47,stock,000002,,,,,
2020-02-12,3197.17844238,3231.3669666,3181.7384637,3207.10414296,41758679.0,1213044773.8,stock,000002,,,,,
2020-02-13,3251.21836776,3391.2810315,3249.01265652,3303.0525819,89569809.0,2704306520.96,stock,000002,,,,,
2020-02-14,3308.56686,3396.7953096,3305.25829314,3396.7953096,119770317.0,3648835020.15,stock,000002,,,,,
2020-02-17,3412.23528828,3413.3381439,3299.74401504,3354.88679604,102213900.0,3098649744.01,stock,000002,,,,,
2020-02-18,3309.66971562,3314.0811381,3255.62979024,3275.4811914,78595188.0,2334626806.99,stock,000002,,,,,
2020-02-19,3277.68690264,3319.5954162,3258.9383571,3269.9669133,60820721.0,1812951829.54,stock,000002,,,,,
2020-02-20,3254.52693462,3294.22973694,3229.16125536,3292.0240257,80199628.0,2370776285.63,stock,000002,,,,,
2020-02-21,3286.5097476,3286.5097476,3198.281298,3225.8526885,105920154.0,3098548224.91,stock,000002,,,,,
2020-02-24,3209.3098542,3214.8241323,3134.31567204,3187.2527418,94999558.0,2730214174.24,stock,000002,,,,,
2020-02-25,3178.42989684,3269.9669133,3176.2241856,3234.67553346,105297000.0,3080948536.91,stock,000002,,,,,
2020-02-26,3181.7384637,3414.44099952,3154.1670732,3320.69827182,165445671.0,5002513795.44,stock,000002,,,,,
2020-02-27,3333.93253926,3337.24110612,3240.18981156,3272.17262454,92275882.0,2745257988.29,stock,000002,,,,,
2020-02-28,3225.8526885,3374.7381972,3218.13269916,3263.34977958,110129976.0,3303591400.5,stock,000002,,,,,
2020-03-02,3297.5383038,3488.33232606,3297.5383038,3433.18954506,137574700.0,4275882349.82,stock,000002,,,,,
2020-03-03,3475.09805862,3488.33232606,3355.98965166,3429.8809782,94283195.0,2913732843.5,stock,000002,,,,,
2020-03-04,3449.73237936,3578.7664869,3390.17817588,3557.81223012,112979624.0,3595379313.28,stock,000002,,,,,
2020-03-05,3504.87516036,3606.3378774,3485.0237592,3562.2236526,92417006.0,2966839995.1,stock,000002,,,,,
2020-03-06,3508.18372722,3528.03512838,3417.74956638,3433.18954506,67952896.0,2124469847.02,stock,000002,,,,,
2020-03-09,3374.7381972,3433.18954506,3309.66971562,3369.2239191,84361344.0,2579914142.16,stock,000002,,,,,
2020-03-10,3374.7381972,3481.71519234,3330.6239724,3396.7953096,76599364.0,2358611141.04,stock,000002,,,,,
2020-03-11,3400.10387646,3418.852422,3348.26966232,3350.47537356,56331860.0,1728508587.34,stock,000002,,,,,
2020-03-12,3309.66971562,3378.04676406,3264.4526352,3303.0525819,59349428.0,1776382654.98,stock,000002,,,,,
2020-03-13,3143.138517,3286.5097476,3110.0528484,3247.9098009,73253061.0,2122142606.1,stock,000002,,,,,
2020-03-16,3249.01265652,3249.01265652,3119.97854898,3147.54993948,64661459.0,1868241398.21,stock,000002,,,,,
2020-03-17,3148.6527951,3182.84131932,3010.7958426,3100.12714782,71078617.0,1994660447.99,stock,000002,,,,,
2020-03-18,3021.8243988,3048.29293368,2868.52746762,2900.5102806,192869685.0,5201139414.37,stock,000002,,,,,
2020-03-19,2845.3674996,2859.70462266,2666.70488916,2782.50472926,151007905.0,3777799190.54,stock,000002,,,,,
2020-03-20,2812.281831,2860.80747828,2763.75618372,2845.3674996,97529053.0,2492385260.14,stock,000002,,,,,
2020-03-23,2739.49336008,2765.96189496,2689.86485718,2707.5105471,70378195.0,1736521156.54,stock,000002,,,,,
2020-03-24,2765.96189496,2774.78473992,2686.55629032,2746.1104938,93404765.0,2315905317.75,stock,000002,,,,,
2020-03-25,2795.7389967,2933.5959492,2795.7389967,2922.567393,149760554.0,3885764289.71,stock,000002,,,,,
2020-03-26,2891.68743564,2923.67024862,2867.424612,2889.4817244,57625364.0,1513738535.87,stock,000002,,,,,
2020-03-27,2946.83021664,2995.35586392,2913.74454804,2930.28738234,83489353.0,2235263795.64,stock,000002,,,,,
2020-03-30,2878.4531682,2947.93307226,2867.424612,2871.83603448,85001808.0,2238199381.57,stock,000002,,,,,
2020-03-31,2906.0245587,2913.74454804,2812.281831,2828.8246653,60704410.0,1568993380.24,stock,000002,,,,,
2020-04-01,2917.0531149,2973.29875152,2894.9960025,2936.90451606,107433164.0,2866233201.3,stock,000002,,,,,
2020-04-02,2922.567393,2971.09304028,2906.0245587,2964.47590656,66309738.0,1768779862.39,stock,000002,,,,,
2020-04-03,2950.1387835,2997.56157516,2933.5959492,2952.34449474,56945280.0,1531608324.69,stock,000002,,,,,
2020-04-07,3015.20726508,3024.03011004,2955.6530616,2985.43016334,67154006.0,1817212749.98,stock,000002,,,,,
2020-04-08,2966.6816178,3005.2815645,2950.1387835,2973.29875152,41251395.0,1113086185.78,stock,000002,,,,,
2020-04-09,2988.7387302,2995.35586392,2933.5959492,2943.52164978,38726254.0,1036553091.7,stock,000002,,,,,
2020-04-10,2960.06448408,3015.20726508,2932.49309358,2964.47590656,62460322.0,1685555121.39,stock,000002,,,,,
2020-04-13,2949.03592788,2992.04729706,2934.69880482,2982.12159648,43264902.0,1167461398.91,stock,000002,,,,,
2020-04-14,2988.7387302,3060.4243455,2979.91588524,3016.3101207,64241868.0,1759852283.69,stock,000002,,,,,
2020-04-15,2999.7672864,3003.07585326,2928.0816711,2944.6245054,70359257.0,1885375493.2,stock,000002,,,,,
2020-04-16,2924.77310424,2951.24163912,2911.5388368,2931.39023796,50238931.0,1333654607.59,stock,000002,,,,,
2020-04-17,2953.44735036,2981.01874086,2928.0816711,2946.83021664,83813322.0,2246148609.44,stock,000002,,,,,
2020-04-20,2953.44735036,2956.75591722,2872.9388901,2931.39023796,85012343.0,2239047179.75,stock,000002,,,,,
2020-04-21,2906.0245587,2926.97881548,2839.8532215,2869.63032324,79072744.0,2057574273.25,stock,000002,,,,,
2020-04-22,2847.57321084,2885.07030192,2829.92752092,2881.76173506,52540708.0,1362087684.51,stock,000002,,,,,
2020-04-23,2888.37886878,2894.9960025,2856.3960558,2867.424612,45051946.0,1171993133.68,stock,000002,,,,,
2020-04-24,2861.9103339,2863.01318952,2815.59039786,2832.13323216,49794003.0,1279394254.29,stock,000002,,,,,
2020-04-27,2835.44179902,2886.17315754,2818.89896472,2854.19034456,71075344.0,1840628651.9,stock,000002,,,,,
2020-04-28,2883.9674463,2922.567393,2842.05893274,2910.43598118,77942703.0,2043120536.45,stock,000002,,,,,
