date,open,high,low,close,volume,amount
2020-01-02,1811.219,1839.41,1797.542,1832.741,10430881024,140075524096.0
2020-01-03,1836.864,1842.557,1821.667,1836.011,10227894784,139125092352.0
2020-01-06,1825.551,1876.464,1824.345,1859.92,12388259840,160826208256.0
2020-01-07,1866.26,1893.214,1866.26,1893.214,11771646464,154495664128.0
2020-01-08,1881.009,1892.576,1858.283,1862.699,12425264128,157851979776.0
2020-01-09,1884.421,1913.783,1884.421,1913.142,11103994112,151693676544.0
2020-01-10,1917.612,1917.828,1894.669,1904.194,10190987776,142241583104.0
2020-01-13,1905.399,1935.071,1893.565,1935.071,9700828416,141704810496.0
2020-01-14,1941.123,1945.766,1922.13,1922.557,10455905280,147347083264.0
2020-01-15,1920.66,1928.69,1902.608,1924.238,9626213376,134073348096.0
2020-01-16,1924.518,1936.034,1917.563,1929.96,9078990080,131290345472.0
2020-01-17,1935.295,1949.043,1928.351,1932.51,8789198336,128495017984.0
2020-01-20,1940.122,1982.176,1935.829,1982.176,9612978432,148823158784.0
2020-01-21,1979.372,1987.661,1959.442,1967.026,9777104896,144546480128.0
2020-01-22,1958.079,2004.393,1928.027,1993.899,10492075264,156071030784.0
2020-01-23,1973.331,1996.551,1904.275,1927.741,11576635648,171066183680.0
2020-02-03,1769.164,1830.808,1769.164,1795.774,5501617664,86251839488.0
2020-02-04,1786.16,1886.804,1786.16,1882.691,13787985920,179446927360.0
2020-02-05,1908.974,1966.259,1901.796,1939.619,12839284480,185062400000.0
2020-02-06,1934.98,2014.884,1918.66,2012.248,13985924864,199165161472.0
2020-02-07,2014.157,2025.319,1976.787,2015.799,15057002240,206543368192.0
2020-02-10,2019.314,2043.679,2007.225,2042.177,14085019392,198346448896.0
2020-02-11,2044.218,2046.811,2015.761,2028.444,11469417728,166312968192.0
2020-02-12,2024.378,2086.942,2022.675,2085.278,12514158080,183951409152.0
2020-02-13,2080.819,2093.367,2052.569,2064.595,13245466880,199479496704.0
2020-02-14,2063.305,2104.006,2049.257,2069.218,12046586368,189243891712.0
